f1_score,roc_auc,conf_matrix,fold,clf__metric,clf__n_neighbors,clf__weights,selector__max_iter,selector__population_size
0.5833,0.677,"[[54, 37], [13, 35]]",0,minkowski,3,uniform,50,20
0.5833,0.677,"[[54, 37], [13, 35]]",1,minkowski,3,uniform,50,20
0.5088,0.6188,"[[54, 37], [19, 29]]",0,minkowski,3,uniform,50,20
0.5088,0.6188,"[[54, 37], [19, 29]]",1,minkowski,3,uniform,50,20
0.4522,0.5859,"[[50, 41], [22, 26]]",0,minkowski,3,distance,50,20
0.4522,0.5859,"[[50, 41], [22, 26]]",1,minkowski,3,distance,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",0,minkowski,3,distance,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",1,minkowski,3,distance,50,20
0.4854,0.6229,"[[61, 30], [23, 25]]",0,minkowski,5,uniform,50,20
0.4854,0.6229,"[[61, 30], [23, 25]]",1,minkowski,5,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",0,minkowski,5,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",1,minkowski,5,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,minkowski,5,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,minkowski,5,distance,50,20
0.4854,0.6229,"[[61, 30], [23, 25]]",0,minkowski,5,distance,50,20
0.4854,0.6229,"[[61, 30], [23, 25]]",1,minkowski,5,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,minkowski,7,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,minkowski,7,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",0,minkowski,7,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",1,minkowski,7,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",0,minkowski,7,distance,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",1,minkowski,7,distance,50,20
0.4561,0.548,"[[51, 40], [22, 26]]",0,minkowski,7,distance,50,20
0.4561,0.548,"[[51, 40], [22, 26]]",1,minkowski,7,distance,50,20
0.5102,0.6923,"[[66, 25], [23, 25]]",0,minkowski,10,uniform,50,20
0.5102,0.6923,"[[66, 25], [23, 25]]",1,minkowski,10,uniform,50,20
0.4854,0.6229,"[[61, 30], [23, 25]]",0,minkowski,10,uniform,50,20
0.4854,0.6229,"[[61, 30], [23, 25]]",1,minkowski,10,uniform,50,20
0.4235,0.6848,"[[72, 19], [30, 18]]",0,minkowski,10,distance,50,20
0.4235,0.6848,"[[72, 19], [30, 18]]",1,minkowski,10,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,minkowski,10,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,minkowski,10,distance,50,20
0.4854,0.6039,"[[61, 30], [23, 25]]",0,minkowski,17,uniform,50,20
0.4854,0.6039,"[[61, 30], [23, 25]]",1,minkowski,17,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,minkowski,17,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,minkowski,17,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",0,minkowski,17,distance,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",1,minkowski,17,distance,50,20
0.4259,0.5546,"[[54, 37], [25, 23]]",0,minkowski,17,distance,50,20
0.4259,0.5546,"[[54, 37], [25, 23]]",1,minkowski,17,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,euclidean,3,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,euclidean,3,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",0,euclidean,3,uniform,50,20
0.5138,0.6177,"[[58, 33], [20, 28]]",1,euclidean,3,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,euclidean,3,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,euclidean,3,distance,50,20
0.4167,0.6277,"[[63, 28], [28, 20]]",0,euclidean,3,distance,50,20
0.4167,0.6277,"[[63, 28], [28, 20]]",1,euclidean,3,distance,50,20
0.4561,0.548,"[[51, 40], [22, 26]]",0,euclidean,5,uniform,50,20
0.4561,0.548,"[[51, 40], [22, 26]]",1,euclidean,5,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,euclidean,5,uniform,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",1,euclidean,5,uniform,50,20
0.4167,0.6277,"[[63, 28], [28, 20]]",0,euclidean,5,distance,50,20
0.4167,0.6277,"[[63, 28], [28, 20]]",1,euclidean,5,distance,50,20
0.4425,0.5792,"[[51, 40], [23, 25]]",0,euclidean,5,distance,50,20
